ORIGIN_AIRPORT,DESTINATION_AIRPORT
ANC,SEA
LAX,PBI
SFO,CLT
LAX,MIA
SEA,ANC
SFO,MSP
LAS,MSP
LAX,CLT
SFO,DFW
LAS,ATL
DEN,ATL
LAS,MIA
LAX,MSP
SLC,ATL
SEA,MSP
SFO,IAH
ANC,PDX
PDX,MSP
LAS,MCI
SEA,MIA
LAS,DFW
LAX,IAH
FAI,SEA
MSP,FLL
LAS,CLT
DEN,MIA
PHX,ORD
PHX,MIA
LAS,IAH
LAS,HNL
ANC,PHX
SJU,EWR
SJU,JFK
PBG,FLL
PHX,DFW
IAG,FLL
PHX,CLT
PSE,MCO
BQN,EWR
BQN,MCO
SJU,BOS
SJU,MCO
SJU,BDL
ORD,PHX
GEG,SEA
HNL,ITO
ONT,SFO
HNL,KOA
HNL,OGG
ORD,IAH
MCO,MIA
BOS,MYR
HIB,MSP
ABR,MSP
MAF,IAH
SEA,PHX
DFW,MIA
BOS,MIA
MKE,IAH
PDX,PHX
IAH,MIA
BNA,DTW
BRO,IAH
VPS,ATL
BOI,SFO
BJI,MSP
HNL,LIH
BNA,ATL
SGF,DFW
PHL,IAH
PDX,DEN
SEA,DEN
DEN,DFW
SBN,ORD
PHL,MCO
ORD,FLL
RDD,SFO
EUG,DEN
SFO,DEN
ORD,DEN
IAD,IAH
BUF,JFK
PWM,JFK
JFK,SJU
CRP,IAH
PIA,DTW
ORD,DTW
FAT,LAX
SMF,DEN
AUS,LAX
BOS,BWI
ORD,BOS
PHX,DTW
MCI,ATL
BOS,DTW
ATL,IAD
JAX,EWR
MFR,DEN
SLC,IAH
IDA,DEN
MSN,DEN
MKE,DTW
GEG,DEN
SEA,IAH
DCA,IAH
SAT,DFW
JFK,MIA
BOS,PBI
BOS,JFK
JFK,BQN
DFW,ATL
CHS,EWR
MKE,DEN
MSP,DEN
CHS,DFW
DEN,LAX
SBA,DEN
SMX,LAX
BOS,BUF
PDX,EWR
IND,PHX
LAX,DEN
CLE,IAH
BOS,EWR
DEN,PHX
MCI,PHX
AUS,DFW
LAX,DFW
GSP,ATL
MCO,EWR
MCI,IAH
BDL,IAD
ABI,DFW
RIC,IAH
BFL,DEN
SAT,SFO
OMA,IAH
RDM,DEN
FLL,BDL
CID,ATL
MCO,LAX
TPA,EWR
SEA,DFW
BOS,DFW
SYR,JFK
ROC,JFK
TYR,DFW
MCI,ORD
LAN,ORD
BUF,EWR
XNA,DFW
GSO,EWR
ORD,LGA
EWR,MIA
ONT,DEN
PBI,IAH
PHX,IAH
RSW,IAH
EWR,MCO
OMA,ORD
SMF,PHX
OAK,PHX
PVD,CLT
RNO,DEN
PIT,IAH
DEN,IAH
LAS,BWI
ABQ,HOU
PHX,SLC
PIT,FLL
PVD,BWI
SFO,ATL
SFO,ORD
PDX,IAH
BOS,ORD
SFO,LAX
SAT,LAX
BOS,LAX
SEA,EWR
LAX,ORD
IAH,PHX
MCO,PHX
SFO,PHX
DFW,MCO
MIA,PHL
SLC,DFW
DCA,DFW
MIA,DFW
BWI,MIA
DFW,LGA
LGA,DFW
DEN,ORD
MCI,DFW
MCO,DFW
TUL,DFW
LGA,MIA
LIT,DFW
MIA,LGA
PDX,DFW
TPA,DFW
SMF,DFW
MSY,MIA
OMA,DFW
OKC,DFW
FAI,ANC
SEA,SJC
SEA,OAK
PDX,SJC
LAX,SEA
PHX,SEA
DEN,SEA
RSW,JFK
PBI,JFK
JFK,PBI
TPA,JFK
FLL,LGA
OAK,LGB
LGA,FLL
JFK,MCO
EWR,FLL
JFK,TPA
PSE,JFK
MSY,JFK
AUS,JFK
BQN,JFK
TPA,BOS
JAX,JFK
DCA,BOS
JFK,ATL
LGA,DTW
RNO,SLC
BOS,MSP
LGA,ATL
